name	description	rep_num	run	bases	bio_project	bio_sample	cultivar	dev_stage	experiment	isolate	library_name	organism	SRA_study	tissue
lyc_dry	Ungerminated (dry) pollen	1	SRR3119173	3994885522	PRJNA309342	SAMN04431707	LA3475	ungerminated	SRX1544774	SOLLYC1	SOLLYC1-POL-D	Solanum lycopersicum	SRP068871	pollen
lyc_dry	Ungerminated (dry) pollen	2	SRR3119179	3286200640	PRJNA309342	SAMN04431713	LA3475	ungerminated	SRX1544780	SOLLYC2	SOLLYC2-POL-D	Solanum lycopersicum	SRP068871	pollen
lyc_dry	Ungerminated (dry) pollen	3	SRR3119185	3994763110	PRJNA309342	SAMN04431719	LA3475	ungerminated	SRX1544786	SOLLYC3	SOLLYC3-POL-D	Solanum lycopersicum	SRP068871	pollen
lyc_germ	Germinated pollen	1	SRR3119174	4649546716	PRJNA309342	SAMN04431708	LA3475	germinated	SRX1544775	SOLLYC1	SOLLYC1-POL-G	Solanum lycopersicum	SRP068871	pollen
lyc_germ	Germinated pollen	2	SRR3119180	5256077976	PRJNA309342	SAMN04431714	LA3475	germinated	SRX1544781	SOLLYC2	SOLLYC2-POL-G	Solanum lycopersicum	SRP068871	pollen
lyc_germ	Germinated pollen	3	SRR3119186	5756599838	PRJNA309342	SAMN04431720	LA3475	germinated	SRX1544787	SOLLYC3	SOLLYC3-POL-G	Solanum lycopersicum	SRP068871	pollen
lyc_pen	lyc pistils pollinated by pen pollen (interspeciﬁc compatibility)	1	SRR3119178	3126258656	PRJNA309342	SAMN04431712	LA0716\,LA3475	1 day after flowering	SRX1544779	SOLLYC1	SOLLYC1-STY-P	Solanum lycopersicum	SRP068871	style+pollen
lyc_pen	lyc pistils pollinated by pen pollen (interspeciﬁc compatibility)	2	SRR3119184	2603649306	PRJNA309342	SAMN04431718	LA0716\,LA3475	1 day after flowering	SRX1544785	SOLLYC2	SOLLYC2-STY-P	Solanum lycopersicum	SRP068871	style+pollen
lyc_pen	lyc pistils pollinated by pen pollen (interspeciﬁc compatibility)	3	SRR3119190	2610495288	PRJNA309342	SAMN04431724	LA0716\,LA3475	1 day after flowering	SRX1544791	SOLLYC3	SOLLYC3-STY-P	Solanum lycopersicum	SRP068871	style+pollen
lyc_S-	Unpollinated pistils 1 days before ﬂowering time	1	SRR3119175	5298018832	PRJNA309342	SAMN04431709	LA3475	1 day before flowering	SRX1544776	SOLLYC1	SOLLYC1-STY-1	Solanum lycopersicum	SRP068871	style
lyc_S-	Unpollinated pistils 1 days before ﬂowering time	2	SRR3119181	4314896548	PRJNA309342	SAMN04431715	LA3475	1 day before flowering	SRX1544782	SOLLYC2	SOLLYC2-STY-1	Solanum lycopersicum	SRP068871	style
lyc_S-	Unpollinated pistils 1 days before ﬂowering time	3	SRR3119187	3918294192	PRJNA309342	SAMN04431721	LA3475	1 day before flowering	SRX1544788	SOLLYC3	SOLLYC3-STY-1	Solanum lycopersicum	SRP068871	style
lyc_S+	Unpollinated pistils just after ﬂowering time	1	SRR3119176	4836312684	PRJNA309342	SAMN04431710	LA3475	1 day after flowering	SRX1544777	SOLLYC1	SOLLYC1-STY-0	Solanum lycopersicum	SRP068871	style
lyc_S+	Unpollinated pistils just after ﬂowering time	2	SRR3119182	2995615762	PRJNA309342	SAMN04431716	LA3475	1 day after flowering	SRX1544783	SOLLYC2	SOLLYC2-STY-0	Solanum lycopersicum	SRP068871	style
lyc_S+	Unpollinated pistils just after ﬂowering time	3	SRR3119188	3186452838	PRJNA309342	SAMN04431722	LA3475	1 day after flowering	SRX1544789	SOLLYC3	SOLLYC3-STY-0	Solanum lycopersicum	SRP068871	style
lyc_self	Self-pollinated pistils just after ﬂowering time	1	SRR3119177	3902019254	PRJNA309342	SAMN04431711	LA3475	1 day after flowering	SRX1544778	SOLLYC1	SOLLYC1-STY-L	Solanum lycopersicum	SRP068871	style+pollen
lyc_self	Self-pollinated pistils just after ﬂowering time	2	SRR3119183	4049869518	PRJNA309342	SAMN04431717	LA3475	1 day after flowering	SRX1544784	SOLLYC2	SOLLYC2-STY-L	Solanum lycopersicum	SRP068871	style+pollen
lyc_self	Self-pollinated pistils just after ﬂowering time	3	SRR3119189	3599253776	PRJNA309342	SAMN04431723	LA3475	1 day after flowering	SRX1544790	SOLLYC3	SOLLYC3-STY-L	Solanum lycopersicum	SRP068871	style+pollen
